,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 1000, Block Group 1, Census Tract 128, San Francisco County, California",43,3,40,43,41,0,0,2,0,0,0
"Block 1001, Block Group 1, Census Tract 128, San Francisco County, California",106,5,101,99,78,3,0,18,0,0,7
"Block 1002, Block Group 1, Census Tract 128, San Francisco County, California",64,2,62,62,50,0,0,11,0,1,2
"Block 1003, Block Group 1, Census Tract 128, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 128, San Francisco County, California",99,1,98,99,89,0,1,8,0,1,0
"Block 1005, Block Group 1, Census Tract 128, San Francisco County, California",99,7,92,94,77,0,0,16,0,1,5
"Block 1006, Block Group 1, Census Tract 128, San Francisco County, California",25,2,23,25,20,0,0,4,0,1,0
"Block 1007, Block Group 1, Census Tract 128, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1008, Block Group 1, Census Tract 128, San Francisco County, California",126,7,119,124,110,1,0,12,0,1,2
"Block 1009, Block Group 1, Census Tract 128, San Francisco County, California",191,4,187,188,178,1,0,8,0,1,3
"Block 1010, Block Group 1, Census Tract 128, San Francisco County, California",80,2,78,78,67,0,0,8,1,2,2
"Block 1011, Block Group 1, Census Tract 128, San Francisco County, California",75,4,71,72,66,0,0,5,0,1,3
"Block 1012, Block Group 1, Census Tract 128, San Francisco County, California",92,4,88,87,68,0,0,19,0,0,5
"Block 1013, Block Group 1, Census Tract 128, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1014, Block Group 1, Census Tract 128, San Francisco County, California",102,0,102,102,100,0,0,2,0,0,0
"Block 1015, Block Group 1, Census Tract 128, San Francisco County, California",234,9,225,227,201,2,0,24,0,0,7
"Block 1016, Block Group 1, Census Tract 128, San Francisco County, California",71,0,71,68,65,0,0,3,0,0,3
"Block 1017, Block Group 1, Census Tract 128, San Francisco County, California",166,11,155,161,148,0,0,13,0,0,5
"Block 2000, Block Group 2, Census Tract 128, San Francisco County, California",98,7,91,98,93,1,0,4,0,0,0
"Block 2001, Block Group 2, Census Tract 128, San Francisco County, California",119,3,116,119,110,0,0,9,0,0,0
"Block 2002, Block Group 2, Census Tract 128, San Francisco County, California",127,2,125,125,112,3,0,5,0,5,2
"Block 2003, Block Group 2, Census Tract 128, San Francisco County, California",99,8,91,98,89,0,0,5,0,4,1
"Block 2004, Block Group 2, Census Tract 128, San Francisco County, California",94,12,82,93,90,0,0,3,0,0,1
"Block 2005, Block Group 2, Census Tract 128, San Francisco County, California",107,1,106,104,99,0,0,3,0,2,3
"Block 2006, Block Group 2, Census Tract 128, San Francisco County, California",98,2,96,98,93,0,0,5,0,0,0
"Block 2007, Block Group 2, Census Tract 128, San Francisco County, California",85,2,83,83,80,0,0,3,0,0,2
"Block 3000, Block Group 3, Census Tract 128, San Francisco County, California",101,2,99,99,78,0,0,20,0,1,2
"Block 3001, Block Group 3, Census Tract 128, San Francisco County, California",146,3,143,144,136,1,0,7,0,0,2
"Block 3002, Block Group 3, Census Tract 128, San Francisco County, California",118,10,108,105,82,3,0,18,0,2,13
"Block 3003, Block Group 3, Census Tract 128, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3004, Block Group 3, Census Tract 128, San Francisco County, California",124,4,120,120,111,0,0,9,0,0,4
"Block 3005, Block Group 3, Census Tract 128, San Francisco County, California",161,12,149,157,136,0,0,20,1,0,4
"Block 3006, Block Group 3, Census Tract 128, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3007, Block Group 3, Census Tract 128, San Francisco County, California",133,5,128,127,107,2,0,14,0,4,6
"Block 3008, Block Group 3, Census Tract 128, San Francisco County, California",148,6,142,141,127,1,1,12,0,0,7
"Block 4000, Block Group 4, Census Tract 128, San Francisco County, California",128,13,115,126,94,3,0,23,1,5,2
"Block 4001, Block Group 4, Census Tract 128, San Francisco County, California",188,17,171,177,139,13,1,21,0,3,11
"Block 4002, Block Group 4, Census Tract 128, San Francisco County, California",79,3,76,75,63,0,0,10,0,2,4
"Block 4003, Block Group 4, Census Tract 128, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 4004, Block Group 4, Census Tract 128, San Francisco County, California",39,4,35,37,33,0,0,4,0,0,2
"Block 4005, Block Group 4, Census Tract 128, San Francisco County, California",174,13,161,172,153,0,0,16,0,3,2
"Block 4006, Block Group 4, Census Tract 128, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 4007, Block Group 4, Census Tract 128, San Francisco County, California",167,7,160,163,150,1,0,10,0,2,4
"Block 1000, Block Group 1, Census Tract 129.01, San Francisco County, California",243,15,228,237,186,3,1,44,0,3,6
"Block 1001, Block Group 1, Census Tract 129.01, San Francisco County, California",201,4,197,198,176,0,0,21,1,0,3
"Block 1002, Block Group 1, Census Tract 129.01, San Francisco County, California",244,19,225,239,211,4,1,19,0,4,5
"Block 1003, Block Group 1, Census Tract 129.01, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 129.01, San Francisco County, California",217,8,209,212,158,4,0,50,0,0,5
"Block 1005, Block Group 1, Census Tract 129.01, San Francisco County, California",114,6,108,108,78,3,0,26,0,1,6
"Block 1006, Block Group 1, Census Tract 129.01, San Francisco County, California",231,24,207,215,184,2,0,27,0,2,16
"Block 1007, Block Group 1, Census Tract 129.01, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1008, Block Group 1, Census Tract 129.01, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2000, Block Group 2, Census Tract 129.01, San Francisco County, California",230,18,212,225,187,2,2,32,0,2,5
"Block 2001, Block Group 2, Census Tract 129.01, San Francisco County, California",212,21,191,204,182,0,0,21,0,1,8
"Block 2002, Block Group 2, Census Tract 129.01, San Francisco County, California",279,16,263,273,238,0,1,31,0,3,6
"Block 2003, Block Group 2, Census Tract 129.01, San Francisco County, California",179,4,175,175,142,2,0,27,2,2,4
"Block 2004, Block Group 2, Census Tract 129.01, San Francisco County, California",169,11,158,164,141,0,1,22,0,0,5
"Block 2005, Block Group 2, Census Tract 129.01, San Francisco County, California",238,13,225,229,201,5,0,23,0,0,9
"Block 1000, Block Group 1, Census Tract 129.02, San Francisco County, California",326,29,297,315,261,2,0,40,1,11,11
"Block 1001, Block Group 1, Census Tract 129.02, San Francisco County, California",258,11,247,246,209,1,1,31,0,4,12
"Block 1002, Block Group 1, Census Tract 129.02, San Francisco County, California",221,18,203,209,177,1,0,26,0,5,12
"Block 1003, Block Group 1, Census Tract 129.02, San Francisco County, California",176,12,164,167,143,3,0,21,0,0,9
"Block 1004, Block Group 1, Census Tract 129.02, San Francisco County, California",184,9,175,180,141,0,0,32,1,6,4
"Block 1005, Block Group 1, Census Tract 129.02, San Francisco County, California",153,18,135,148,136,2,0,8,0,2,5
"Block 1006, Block Group 1, Census Tract 129.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2000, Block Group 2, Census Tract 129.02, San Francisco County, California",203,7,196,203,181,0,1,21,0,0,0
"Block 2001, Block Group 2, Census Tract 129.02, San Francisco County, California",239,10,229,232,193,1,0,36,0,2,7
"Block 2002, Block Group 2, Census Tract 129.02, San Francisco County, California",293,22,271,277,214,5,0,48,2,8,16
"Block 2003, Block Group 2, Census Tract 129.02, San Francisco County, California",156,12,144,150,136,0,0,9,0,5,6
"Block 2004, Block Group 2, Census Tract 129.02, San Francisco County, California",100,3,97,92,67,4,0,21,0,0,8
"Block 2005, Block Group 2, Census Tract 129.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2006, Block Group 2, Census Tract 129.02, San Francisco County, California",164,18,146,156,118,9,0,24,0,5,8
"Block 3000, Block Group 3, Census Tract 129.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3001, Block Group 3, Census Tract 129.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3002, Block Group 3, Census Tract 129.02, San Francisco County, California",110,11,99,103,88,1,0,10,0,4,7
"Block 3003, Block Group 3, Census Tract 129.02, San Francisco County, California",70,3,67,66,54,4,0,8,0,0,4
"Block 3004, Block Group 3, Census Tract 129.02, San Francisco County, California",198,15,183,190,150,0,1,34,0,5,8
"Block 3005, Block Group 3, Census Tract 129.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3006, Block Group 3, Census Tract 129.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3007, Block Group 3, Census Tract 129.02, San Francisco County, California",71,4,67,70,41,3,0,26,0,0,1
"Block 3008, Block Group 3, Census Tract 129.02, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3009, Block Group 3, Census Tract 129.02, San Francisco County, California",5,3,2,5,4,0,0,0,0,1,0
"Block 3010, Block Group 3, Census Tract 129.02, San Francisco County, California",79,7,72,74,64,0,1,9,0,0,5
"Block 3011, Block Group 3, Census Tract 129.02, San Francisco County, California",60,7,53,60,56,0,0,3,0,1,0
"Block 3012, Block Group 3, Census Tract 129.02, San Francisco County, California",112,6,106,107,95,0,1,9,0,2,5
"Block 3013, Block Group 3, Census Tract 129.02, San Francisco County, California",85,4,81,79,63,0,0,16,0,0,6
"Block 3014, Block Group 3, Census Tract 129.02, San Francisco County, California",113,6,107,107,93,0,0,14,0,0,6
"Block 1000, Block Group 1, Census Tract 130, San Francisco County, California",203,8,195,196,159,0,1,33,0,3,7
"Block 1001, Block Group 1, Census Tract 130, San Francisco County, California",207,16,191,204,174,0,1,27,0,2,3
"Block 1002, Block Group 1, Census Tract 130, San Francisco County, California",87,8,79,85,79,1,0,3,0,2,2
"Block 1003, Block Group 1, Census Tract 130, San Francisco County, California",160,11,149,158,139,0,0,19,0,0,2
"Block 1004, Block Group 1, Census Tract 130, San Francisco County, California",292,13,279,283,241,7,1,33,0,1,9
"Block 1005, Block Group 1, Census Tract 130, San Francisco County, California",183,12,171,179,164,0,1,7,0,7,4
"Block 2000, Block Group 2, Census Tract 130, San Francisco County, California",190,9,181,184,156,1,0,26,0,1,6
"Block 2001, Block Group 2, Census Tract 130, San Francisco County, California",187,7,180,182,156,0,0,26,0,0,5
"Block 2002, Block Group 2, Census Tract 130, San Francisco County, California",150,10,140,150,134,1,0,12,1,2,0
"Block 2003, Block Group 2, Census Tract 130, San Francisco County, California",89,3,86,87,80,2,0,5,0,0,2
"Block 2004, Block Group 2, Census Tract 130, San Francisco County, California",166,13,153,157,145,0,1,9,0,2,9
"Block 2005, Block Group 2, Census Tract 130, San Francisco County, California",237,25,212,235,208,4,0,21,0,2,2
"Block 3000, Block Group 3, Census Tract 130, San Francisco County, California",114,5,109,112,93,1,0,17,0,1,2
"Block 3001, Block Group 3, Census Tract 130, San Francisco County, California",134,8,126,130,116,2,0,11,0,1,4
"Block 3002, Block Group 3, Census Tract 130, San Francisco County, California",151,10,141,144,129,2,0,12,0,1,7
"Block 3003, Block Group 3, Census Tract 130, San Francisco County, California",159,10,149,152,137,1,0,10,0,4,7
"Block 3004, Block Group 3, Census Tract 130, San Francisco County, California",267,11,256,256,222,2,1,30,0,1,11
"Block 3005, Block Group 3, Census Tract 130, San Francisco County, California",146,2,144,143,134,0,1,7,0,1,3
"Block 4000, Block Group 4, Census Tract 130, San Francisco County, California",90,9,81,86,75,0,0,10,0,1,4
"Block 4001, Block Group 4, Census Tract 130, San Francisco County, California",151,14,137,147,114,1,0,29,0,3,4
"Block 4002, Block Group 4, Census Tract 130, San Francisco County, California",183,6,177,175,154,0,0,20,1,0,8
"Block 4003, Block Group 4, Census Tract 130, San Francisco County, California",182,7,175,176,154,0,0,18,0,4,6
"Block 4004, Block Group 4, Census Tract 130, San Francisco County, California",154,6,148,152,130,0,0,18,0,4,2
"Block 4005, Block Group 4, Census Tract 130, San Francisco County, California",162,4,158,159,143,0,0,14,0,2,3
"Block 1000, Block Group 1, Census Tract 131.01, San Francisco County, California",292,40,252,280,202,12,2,53,1,10,12
"Block 1001, Block Group 1, Census Tract 131.01, San Francisco County, California",327,18,309,321,283,4,2,29,0,3,6
"Block 1002, Block Group 1, Census Tract 131.01, San Francisco County, California",349,19,330,341,290,4,2,41,0,4,8
"Block 1003, Block Group 1, Census Tract 131.01, San Francisco County, California",134,16,118,128,90,4,0,31,0,3,6
"Block 1004, Block Group 1, Census Tract 131.01, San Francisco County, California",194,23,171,185,156,0,0,24,0,5,9
"Block 1005, Block Group 1, Census Tract 131.01, San Francisco County, California",329,14,315,319,284,4,1,28,0,2,10
"Block 2000, Block Group 2, Census Tract 131.01, San Francisco County, California",490,26,464,467,324,4,0,135,0,4,23
"Block 2001, Block Group 2, Census Tract 131.01, San Francisco County, California",323,18,305,311,253,5,0,49,0,4,12
"Block 2002, Block Group 2, Census Tract 131.01, San Francisco County, California",274,13,261,256,198,2,0,53,1,2,18
"Block 2003, Block Group 2, Census Tract 131.01, San Francisco County, California",231,16,215,223,168,6,0,43,2,4,8
"Block 2004, Block Group 2, Census Tract 131.01, San Francisco County, California",449,30,419,425,345,20,0,50,1,9,24
"Block 2005, Block Group 2, Census Tract 131.01, San Francisco County, California",419,21,398,402,333,6,0,57,2,4,17
"Block 1000, Block Group 1, Census Tract 131.02, San Francisco County, California",78,0,78,78,72,1,0,5,0,0,0
"Block 1001, Block Group 1, Census Tract 131.02, San Francisco County, California",197,5,192,189,172,0,0,17,0,0,8
"Block 1002, Block Group 1, Census Tract 131.02, San Francisco County, California",26,0,26,26,24,0,0,2,0,0,0
"Block 1003, Block Group 1, Census Tract 131.02, San Francisco County, California",395,28,367,371,286,8,0,72,1,4,24
"Block 1004, Block Group 1, Census Tract 131.02, San Francisco County, California",172,9,163,166,142,2,0,20,0,2,6
"Block 1005, Block Group 1, Census Tract 131.02, San Francisco County, California",162,7,155,154,126,5,0,17,1,5,8
"Block 1006, Block Group 1, Census Tract 131.02, San Francisco County, California",325,24,301,314,261,2,2,45,0,4,11
"Block 2000, Block Group 2, Census Tract 131.02, San Francisco County, California",294,18,276,288,256,3,0,25,0,4,6
"Block 2001, Block Group 2, Census Tract 131.02, San Francisco County, California",233,9,224,222,177,0,2,43,0,0,11
"Block 2002, Block Group 2, Census Tract 131.02, San Francisco County, California",319,9,310,311,267,6,0,38,0,0,8
"Block 2003, Block Group 2, Census Tract 131.02, San Francisco County, California",191,11,180,181,143,2,0,33,0,3,10
"Block 2004, Block Group 2, Census Tract 131.02, San Francisco County, California",149,10,139,136,104,4,1,20,0,7,13
"Block 2005, Block Group 2, Census Tract 131.02, San Francisco County, California",84,4,80,78,73,0,0,5,0,0,6
"Block 1000, Block Group 1, Census Tract 132, San Francisco County, California",367,12,355,354,299,1,1,53,0,0,13
"Block 1001, Block Group 1, Census Tract 132, San Francisco County, California",98,3,95,95,77,4,0,10,0,4,3
"Block 1002, Block Group 1, Census Tract 132, San Francisco County, California",69,1,68,67,57,0,0,9,0,1,2
"Block 1003, Block Group 1, Census Tract 132, San Francisco County, California",344,19,325,336,292,4,0,37,0,3,8
"Block 1004, Block Group 1, Census Tract 132, San Francisco County, California",258,10,248,249,220,1,0,25,0,3,9
"Block 1005, Block Group 1, Census Tract 132, San Francisco County, California",240,17,223,235,200,1,1,29,0,4,5
"Block 1006, Block Group 1, Census Tract 132, San Francisco County, California",270,10,260,262,217,4,0,38,0,3,8
"Block 1007, Block Group 1, Census Tract 132, San Francisco County, California",265,9,256,256,221,6,0,26,1,2,9
"Block 1008, Block Group 1, Census Tract 132, San Francisco County, California",157,8,149,154,130,0,0,21,0,3,3
"Block 2000, Block Group 2, Census Tract 132, San Francisco County, California",70,2,68,70,65,0,0,3,0,2,0
"Block 2001, Block Group 2, Census Tract 132, San Francisco County, California",100,3,97,99,84,5,0,9,0,1,1
"Block 2002, Block Group 2, Census Tract 132, San Francisco County, California",164,4,160,161,145,5,0,10,0,1,3
"Block 2003, Block Group 2, Census Tract 132, San Francisco County, California",152,7,145,150,123,2,0,25,0,0,2
"Block 2004, Block Group 2, Census Tract 132, San Francisco County, California",42,1,41,39,34,0,0,3,1,1,3
"Block 2005, Block Group 2, Census Tract 132, San Francisco County, California",70,4,66,65,53,0,0,12,0,0,5
"Block 2006, Block Group 2, Census Tract 132, San Francisco County, California",85,2,83,77,72,1,0,3,1,0,8
"Block 3000, Block Group 3, Census Tract 132, San Francisco County, California",68,4,64,68,67,0,0,1,0,0,0
"Block 3001, Block Group 3, Census Tract 132, San Francisco County, California",73,6,67,69,68,0,0,0,0,1,4
"Block 3002, Block Group 3, Census Tract 132, San Francisco County, California",78,2,76,72,57,6,0,9,0,0,6
"Block 3003, Block Group 3, Census Tract 132, San Francisco County, California",87,2,85,86,76,1,0,9,0,0,1
"Block 3004, Block Group 3, Census Tract 132, San Francisco County, California",43,1,42,43,42,0,0,0,1,0,0
"Block 3005, Block Group 3, Census Tract 132, San Francisco County, California",72,0,72,72,64,0,0,6,0,2,0
"Block 3006, Block Group 3, Census Tract 132, San Francisco County, California",75,1,74,71,59,1,0,7,0,4,4
"Block 3007, Block Group 3, Census Tract 132, San Francisco County, California",27,2,25,26,16,0,0,10,0,0,1
"Block 3008, Block Group 3, Census Tract 132, San Francisco County, California",33,1,32,33,29,0,0,4,0,0,0
"Block 3009, Block Group 3, Census Tract 132, San Francisco County, California",67,2,65,65,61,0,0,3,0,1,2
"Block 3010, Block Group 3, Census Tract 132, San Francisco County, California",65,4,61,60,57,0,0,2,0,1,5
"Block 3011, Block Group 3, Census Tract 132, San Francisco County, California",35,0,35,34,33,0,0,1,0,0,1
"Block 3012, Block Group 3, Census Tract 132, San Francisco County, California",48,5,43,48,47,0,0,0,0,1,0
"Block 3013, Block Group 3, Census Tract 132, San Francisco County, California",49,5,44,46,45,0,0,1,0,0,3
"Block 3014, Block Group 3, Census Tract 132, San Francisco County, California",40,0,40,37,35,0,0,2,0,0,3
"Block 3015, Block Group 3, Census Tract 132, San Francisco County, California",139,7,132,134,108,2,0,23,0,1,5
"Block 3016, Block Group 3, Census Tract 132, San Francisco County, California",160,2,158,156,130,0,0,26,0,0,4
"Block 3017, Block Group 3, Census Tract 132, San Francisco County, California",123,2,121,120,110,1,0,9,0,0,3
"Block 3018, Block Group 3, Census Tract 132, San Francisco County, California",64,1,63,64,48,2,0,11,0,3,0
"Block 3019, Block Group 3, Census Tract 132, San Francisco County, California",65,0,65,60,52,0,0,8,0,0,5
"Block 1000, Block Group 1, Census Tract 133, San Francisco County, California",67,3,64,61,59,1,1,0,0,0,6
"Block 1001, Block Group 1, Census Tract 133, San Francisco County, California",72,4,68,69,63,1,0,5,0,0,3
"Block 1002, Block Group 1, Census Tract 133, San Francisco County, California",58,1,57,58,56,0,0,2,0,0,0
"Block 1003, Block Group 1, Census Tract 133, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 133, San Francisco County, California",65,3,62,62,62,0,0,0,0,0,3
"Block 1005, Block Group 1, Census Tract 133, San Francisco County, California",124,8,116,121,113,1,0,7,0,0,3
"Block 1006, Block Group 1, Census Tract 133, San Francisco County, California",61,1,60,61,54,0,0,7,0,0,0
"Block 1007, Block Group 1, Census Tract 133, San Francisco County, California",111,3,108,110,103,0,0,7,0,0,1
"Block 1008, Block Group 1, Census Tract 133, San Francisco County, California",125,7,118,117,112,1,0,4,0,0,8
"Block 2000, Block Group 2, Census Tract 133, San Francisco County, California",156,16,140,147,133,4,0,10,0,0,9
"Block 2001, Block Group 2, Census Tract 133, San Francisco County, California",104,9,95,98,95,0,0,3,0,0,6
"Block 2002, Block Group 2, Census Tract 133, San Francisco County, California",102,0,102,97,88,0,0,9,0,0,5
"Block 2003, Block Group 2, Census Tract 133, San Francisco County, California",67,3,64,66,60,1,0,5,0,0,1
"Block 2004, Block Group 2, Census Tract 133, San Francisco County, California",120,8,112,113,87,2,0,21,0,3,7
"Block 2005, Block Group 2, Census Tract 133, San Francisco County, California",178,7,171,174,159,4,0,10,0,1,4
"Block 2006, Block Group 2, Census Tract 133, San Francisco County, California",162,13,149,162,148,4,0,6,0,4,0
"Block 2007, Block Group 2, Census Tract 133, San Francisco County, California",129,8,121,128,102,0,0,24,0,2,1
"Block 3000, Block Group 3, Census Tract 133, San Francisco County, California",80,6,74,77,59,1,0,15,0,2,3
"Block 3001, Block Group 3, Census Tract 133, San Francisco County, California",385,8,377,381,292,1,0,85,0,3,4
"Block 3002, Block Group 3, Census Tract 133, San Francisco County, California",215,7,208,208,176,8,0,21,1,2,7
"Block 3003, Block Group 3, Census Tract 133, San Francisco County, California",147,17,130,137,112,2,1,19,0,3,10
"Block 3004, Block Group 3, Census Tract 133, San Francisco County, California",115,3,112,113,93,0,5,15,0,0,2
"Block 3005, Block Group 3, Census Tract 133, San Francisco County, California",147,8,139,144,113,9,0,21,0,1,3
"Block 4000, Block Group 4, Census Tract 133, San Francisco County, California",22,1,21,18,16,1,0,0,0,1,4
"Block 4001, Block Group 4, Census Tract 133, San Francisco County, California",43,2,41,41,39,0,0,1,0,1,2
"Block 4002, Block Group 4, Census Tract 133, San Francisco County, California",62,5,57,60,57,0,0,3,0,0,2
"Block 4003, Block Group 4, Census Tract 133, San Francisco County, California",38,1,37,38,33,0,0,4,0,1,0
"Block 4004, Block Group 4, Census Tract 133, San Francisco County, California",55,4,51,54,50,0,1,1,0,2,1
"Block 4005, Block Group 4, Census Tract 133, San Francisco County, California",59,7,52,59,56,0,0,3,0,0,0
"Block 4006, Block Group 4, Census Tract 133, San Francisco County, California",115,5,110,114,107,0,0,7,0,0,1
"Block 4007, Block Group 4, Census Tract 133, San Francisco County, California",60,0,60,58,52,0,0,5,0,1,2
"Block 4008, Block Group 4, Census Tract 133, San Francisco County, California",67,1,66,65,62,0,0,3,0,0,2
"Block 4009, Block Group 4, Census Tract 133, San Francisco County, California",99,1,98,97,84,0,0,12,0,1,2
"Block 4010, Block Group 4, Census Tract 133, San Francisco County, California",146,6,140,145,106,7,1,30,0,1,1
"Block 5000, Block Group 5, Census Tract 133, San Francisco County, California",71,2,69,67,65,0,0,2,0,0,4
"Block 5001, Block Group 5, Census Tract 133, San Francisco County, California",149,2,147,143,122,1,0,20,0,0,6
"Block 5002, Block Group 5, Census Tract 133, San Francisco County, California",140,2,138,135,116,3,0,16,0,0,5
"Block 5003, Block Group 5, Census Tract 133, San Francisco County, California",153,6,147,147,133,0,0,13,0,1,6
"Block 5004, Block Group 5, Census Tract 133, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 5005, Block Group 5, Census Tract 133, San Francisco County, California",163,6,157,161,134,3,0,23,1,0,2
"Block 1000, Block Group 1, Census Tract 134, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 134, San Francisco County, California",227,20,207,222,187,8,0,25,0,2,5
"Block 1002, Block Group 1, Census Tract 134, San Francisco County, California",125,11,114,122,110,1,1,10,0,0,3
"Block 1003, Block Group 1, Census Tract 134, San Francisco County, California",118,4,114,115,98,5,0,9,3,0,3
"Block 1004, Block Group 1, Census Tract 134, San Francisco County, California",261,11,250,251,201,6,0,39,1,4,10
"Block 1005, Block Group 1, Census Tract 134, San Francisco County, California",46,1,45,46,42,0,0,3,1,0,0
"Block 2000, Block Group 2, Census Tract 134, San Francisco County, California",163,7,156,155,140,0,0,15,0,0,8
"Block 2001, Block Group 2, Census Tract 134, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2002, Block Group 2, Census Tract 134, San Francisco County, California",152,6,146,146,132,0,0,13,0,1,6
"Block 2003, Block Group 2, Census Tract 134, San Francisco County, California",150,4,146,144,120,0,0,20,0,4,6
"Block 2004, Block Group 2, Census Tract 134, San Francisco County, California",101,2,99,100,84,2,0,14,0,0,1
"Block 2005, Block Group 2, Census Tract 134, San Francisco County, California",161,11,150,153,124,6,0,19,0,4,8
"Block 2006, Block Group 2, Census Tract 134, San Francisco County, California",237,19,218,220,175,3,0,38,0,4,17
"Block 2007, Block Group 2, Census Tract 134, San Francisco County, California",225,19,206,216,191,7,0,16,0,2,9
"Block 2008, Block Group 2, Census Tract 134, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2009, Block Group 2, Census Tract 134, San Francisco County, California",236,19,217,222,171,10,1,34,0,6,14
"Block 3000, Block Group 3, Census Tract 134, San Francisco County, California",166,4,162,157,137,0,0,17,0,3,9
"Block 3001, Block Group 3, Census Tract 134, San Francisco County, California",162,2,160,162,141,3,0,17,1,0,0
"Block 3002, Block Group 3, Census Tract 134, San Francisco County, California",199,6,193,191,177,0,0,14,0,0,8
"Block 3003, Block Group 3, Census Tract 134, San Francisco County, California",169,8,161,164,148,1,0,11,0,4,5
"Block 3004, Block Group 3, Census Tract 134, San Francisco County, California",163,6,157,156,142,1,0,13,0,0,7
"Block 3005, Block Group 3, Census Tract 134, San Francisco County, California",160,4,156,157,145,0,0,11,0,1,3
"Block 3006, Block Group 3, Census Tract 134, San Francisco County, California",232,9,223,225,193,1,1,24,1,5,7
"Block 3007, Block Group 3, Census Tract 134, San Francisco County, California",146,9,137,140,131,2,0,6,1,0,6
"Block 1000, Block Group 1, Census Tract 135, San Francisco County, California",149,6,143,137,111,2,0,19,1,4,12
"Block 1001, Block Group 1, Census Tract 135, San Francisco County, California",192,19,173,182,143,1,0,34,0,4,10
"Block 1002, Block Group 1, Census Tract 135, San Francisco County, California",248,16,232,241,197,6,1,32,0,5,7
"Block 1003, Block Group 1, Census Tract 135, San Francisco County, California",217,7,210,212,177,5,0,30,0,0,5
"Block 1004, Block Group 1, Census Tract 135, San Francisco County, California",115,8,107,109,89,2,0,14,0,4,6
"Block 1005, Block Group 1, Census Tract 135, San Francisco County, California",97,4,93,94,86,2,0,6,0,0,3
"Block 1006, Block Group 1, Census Tract 135, San Francisco County, California",229,15,214,222,185,8,0,27,0,2,7
"Block 2000, Block Group 2, Census Tract 135, San Francisco County, California",273,18,255,268,219,0,0,48,0,1,5
"Block 2001, Block Group 2, Census Tract 135, San Francisco County, California",72,3,69,69,60,1,0,8,0,0,3
"Block 2002, Block Group 2, Census Tract 135, San Francisco County, California",17,0,17,16,15,0,0,1,0,0,1
"Block 2003, Block Group 2, Census Tract 135, San Francisco County, California",160,9,151,155,130,0,1,22,0,2,5
"Block 2004, Block Group 2, Census Tract 135, San Francisco County, California",190,16,174,187,166,7,0,11,1,2,3
"Block 2005, Block Group 2, Census Tract 135, San Francisco County, California",217,18,199,208,121,29,1,55,0,2,9
"Block 2006, Block Group 2, Census Tract 135, San Francisco County, California",86,4,82,83,73,1,0,9,0,0,3
"Block 2007, Block Group 2, Census Tract 135, San Francisco County, California",294,20,274,280,229,2,2,44,0,3,14
"Block 1000, Block Group 1, Census Tract 151, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 151, San Francisco County, California",398,24,374,379,284,3,0,89,1,2,19
"Block 1002, Block Group 1, Census Tract 151, San Francisco County, California",261,31,230,248,167,13,0,60,1,7,13
"Block 1003, Block Group 1, Census Tract 151, San Francisco County, California",294,4,290,292,267,1,0,24,0,0,2
"Block 1004, Block Group 1, Census Tract 151, San Francisco County, California",77,10,67,74,34,1,0,33,0,6,3
"Block 1005, Block Group 1, Census Tract 151, San Francisco County, California",47,8,39,40,21,4,0,14,0,1,7
"Block 1006, Block Group 1, Census Tract 151, San Francisco County, California",157,5,152,149,98,11,0,38,0,2,8
"Block 1007, Block Group 1, Census Tract 151, San Francisco County, California",4,1,3,4,2,2,0,0,0,0,0
