,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 1010, Block Group 1, Census Tract 102, San Francisco County, California",83,6,77,77,65,0,0,12,0,0,6
"Block 1011, Block Group 1, Census Tract 102, San Francisco County, California",173,9,164,160,134,0,1,23,0,2,13
"Block 1012, Block Group 1, Census Tract 102, San Francisco County, California",161,10,151,160,140,0,0,18,0,2,1
"Block 1013, Block Group 1, Census Tract 102, San Francisco County, California",98,4,94,91,83,0,0,8,0,0,7
"Block 1014, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1015, Block Group 1, Census Tract 102, San Francisco County, California",199,3,196,199,166,1,0,30,0,2,0
"Block 1016, Block Group 1, Census Tract 102, San Francisco County, California",112,6,106,107,98,0,0,9,0,0,5
"Block 1017, Block Group 1, Census Tract 102, San Francisco County, California",105,10,95,103,99,2,0,2,0,0,2
"Block 1018, Block Group 1, Census Tract 102, San Francisco County, California",100,3,97,100,91,1,0,6,0,2,0
"Block 1019, Block Group 1, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1020, Block Group 1, Census Tract 102, San Francisco County, California",217,5,212,214,198,3,0,11,2,0,3
"Block 2000, Block Group 2, Census Tract 102, San Francisco County, California",185,11,174,180,158,2,0,18,0,2,5
"Block 2001, Block Group 2, Census Tract 102, San Francisco County, California",202,10,192,199,179,2,0,18,0,0,3
"Block 2002, Block Group 2, Census Tract 102, San Francisco County, California",236,11,225,227,206,3,2,16,0,0,9
"Block 2003, Block Group 2, Census Tract 102, San Francisco County, California",211,6,205,201,176,0,0,24,0,1,10
"Block 2004, Block Group 2, Census Tract 102, San Francisco County, California",203,15,188,197,179,1,0,16,0,1,6
"Block 2005, Block Group 2, Census Tract 102, San Francisco County, California",299,17,282,292,263,2,0,23,1,3,7
"Block 2006, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2007, Block Group 2, Census Tract 102, San Francisco County, California",191,11,180,185,165,2,1,16,0,1,6
